boro_cd,district_name,candidate_count,candidate_area_m2,count_share_pct,area_share_pct
101,Manhattan Community District 1,16,28252.856534822004,100.0,100.0
102,Manhattan Community District 2,0,0.0,0.0,0.0
103,Manhattan Community District 3,0,0.0,0.0,0.0
